id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,Team,Season,League
7322,Bukayo Saka,35,2990,16,16.807056225836277,8,11.325986489653587,107,89,4,0,F,Arsenal,10,12.240043208003044,30.357597015798092,13.228619534522295,Arsenal,2023,Premier League
5220,Kai Havertz,37,2651,13,13.465729914605618,7,5.814370539039373,69,45,11,0,F M S,Arsenal,12,12.704561084508896,24.790123470127583,9.346141943708062,Arsenal,2023,Premier League
7698,Leandro Trossard,34,1649,12,9.575767548754811,1,3.252073733136058,60,24,2,0,F M S,Arsenal,12,9.575767548754811,16.976479506120086,5.5028668232262135,Arsenal,2023,Premier League
2517,Martin Odegaard,35,3117,8,7.670226177200675,10,11.577396512031555,77,102,2,0,M,Arsenal,6,6.147925289347768,29.81505699455738,18.138023640960455,Arsenal,2023,Premier League
5553,Declan Rice,38,3256,7,3.186093623749912,8,5.895036246627569,58,47,5,0,M S,Arsenal,7,3.186093623749912,19.678100544027984,16.131323732435703,Arsenal,2023,Premier League
7752,Gabriel Martinelli,35,2056,6,7.1196701768785715,4,5.3229342848062515,58,46,1,0,F S,Arsenal,6,7.1196701768785715,16.80896869674325,6.638341135345399,Arsenal,2023,Premier League
6482,Eddie Nketiah,27,1036,5,5.057408779859543,2,1.209644090384245,38,9,3,0,F S,Arsenal,5,5.057408779859543,5.851144388318062,0.9911122377961874,Arsenal,2023,Premier League
5543,Gabriel Jesus,27,1496,4,7.291733928024769,5,4.235467437654734,55,28,6,0,F S,Arsenal,4,7.291733928024769,15.054804097861052,5.210432682186365,Arsenal,2023,Premier League
7298,Ben White,37,3024,4,2.015913512557745,4,4.758832193911076,13,38,8,0,D S,Arsenal,4,2.015913512557745,20.14929211512208,17.290449742227793,Arsenal,2023,Premier League
5613,Gabriel,36,3050,3,4.025354804471135,0,0.8747859355062246,31,3,4,0,D S,Arsenal,3,4.025354804471135,13.232404409907758,12.333239757455885,Arsenal,2023,Premier League
6888,William Saliba,38,3420,2,2.367191250436008,1,0.24890925362706184,10,6,4,0,D,Arsenal,2,2.367191250436008,16.631769336760044,16.434827260673046,Arsenal,2023,Premier League
7931,Takehiro Tomiyasu,22,1106,2,1.6189159248024225,1,0.5923872366547585,17,6,0,1,D S,Arsenal,2,1.6189159248024225,3.8184002935886383,3.4134652838110924,Arsenal,2023,Premier League
2958,Oleksandr Zinchenko,27,1742,1,0.5664580916054547,2,3.02644526027143,17,29,2,0,D S,Arsenal,1,0.5664580916054547,9.755152989178896,8.132995340973139,Arsenal,2023,Premier League
10012,Jakub Kiwior,20,953,1,1.1961752735078335,3,0.9080287516117096,6,6,1,0,D S,Arsenal,1,1.1961752735078335,5.180064149200916,3.9905764758586884,Arsenal,2023,Premier League
11007,Fábio Vieira,11,277,1,1.164049606770277,2,1.3098269253969193,7,5,0,1,M S,Arsenal,0,0.4028807692229748,1.5897186901420355,0.29259338416159153,Arsenal,2023,Premier League
496,Mohamed Elneny,3,18,0,0.0575435645878315,0,0,2,0,0,0,S,Arsenal,0,0.0575435645878315,0.154712975025177,0.0971694067120552,Arsenal,2023,Premier League
847,Cédric Soares,3,44,0,0,0,0,0,0,0,0,S,Arsenal,0,0,0.19675532914698124,0.19675532914698124,Arsenal,2023,Premier League
1389,Jorginho,24,911,0,0.08004274033010006,2,1.5529427882283926,4,10,1,0,M S,Arsenal,0,0.08004274033010006,6.152929972857237,5.498104698956013,Arsenal,2023,Premier League
2328,Thomas Partey,14,793,0,0.36420316621661186,0,0.4302750788629055,8,6,3,0,D M S,Arsenal,0,0.36420316621661186,5.986752610653639,5.494942259043455,Arsenal,2023,Premier League
5603,Aaron Ramsdale,6,540,0,0,0,0,0,0,0,0,GK,Arsenal,0,0,0.7832736372947693,0.7832736372947693,Arsenal,2023,Premier League
6492,Reiss Nelson,15,215,0,0.23842556215822697,0,0.6414464898407459,4,5,1,0,F S,Arsenal,0,0.23842556215822697,3.198990484699607,2.478929640725255,Arsenal,2023,Premier League
